"","words","match"
"1","cottage/swiss/cake","cheese"
"2","cream/skate/water","ice"
"3","loser/throat/spot","sore"
"4","show/life/row","boat"
"5","night/wrist/stop","watch"
"6","duck/fold/dollar","bill"
"7","rocking/wheel/high","chair"
"8","dew/comb/bee","honey"
"9","fountain/baking/pop","soda"
"10","preserve/ranger/tropical","forest"
"11","aid/rubber/wagon","band"
"12","flake/mobile/cone","snow"
"13","cracker/fly/fighter","fire"
"14","safety/cushion/point","pin"
"15","cane/daddy/plum","sugar"
"16","dream/break/light","day"
"17","fish/mine/rush","gold"
"18","political/surprise/line","party"
"19","measure/worm/video","tape"
"20","sense/courtesy/place","common"
"21","worm/shelf/end","book"
"22","piece/mind/dating","game"
"23","flower/friend/scout","girl"
"24","river/note/account","bank"
"25","print/berry/bird","blue"
"26","pie/luck/belly","pot"
"27","date/alley/fold","blind"
"28","opera/hand/dish","soap"
"29","cadet/capsule/ship","space"
"30","fur/rack/tail","coat"
"31","stick/maker/point","match"
"32","hound/pressure/shot","blood"
"33","fox/man/peep","hole"
"34","sleeping/bean/trash","bag"
"35","dust/cereal/fish","bowl"
"36","light/birthday/stick","candle"
"37","food/forward/break","fast"
"38","shine/beam/struck","moon"
"39","peach/arm/tar","pit"
"40","water/mine/shaker","salt"
"41","palm/shoe/house","tree"
"42","basket/eight/snow","ball"
"43","wheel/hand/shopping","cart"
"44","right/cat/carbon","copy"
"45","home/sea/bed","sick"
"46","nuclear/feud/album","family"
"47","sandwich/house/golf","club"
"48","cross/rain/tie","bow"
"49","sage/paint/hair","brush"
"50","french/car/shoe","horn"
"51","boot/summer/ground","camp"
"52","chamber/mask/natural","gas"
"53","mill/tooth/dust","saw"
"54","main/sweeper/light","street"
"55","pike/coat/signal","turn"
"56","office/mail/hat","box"
"57","fly/clip/wall","paper"
"58","age/mile/sand","stone"
"59","catcher/food/hot","dog"
"60","wagon/break/radio","station"
"61","tank/hill/secret","top"
"62","health/taker/less","care"
"63","lift/card/mask","face"
"64","dress/dial/flower","sun"
"65","force/line/mail","air"
"66","guy/rain/down","fall"
"67","eight/skate/stick","figure"
"68","down/question/check","mark"
"69","animal/back/rat","pack"
"70","officer/cash/larceny","petty"
"71","pine/crab/sauce","apple"
"72","house/thumb/pepper","green"
"73","carpet/alert/ink","red"
"74","master/toss/finger","ring"
"75","hammer/gear/hunter","head"
"76","knife/light/pal","pen"
"77","foul/ground/mate","play"
"78","change/circuit/cake","short"
"79","way/board/sleep","walk"
"80","blank/list/mate","check"
"81","tail/water/flood","gate"
"82","marshal/child/piano","grand"
"83","cover/arm/wear","under"
"84","rain/test/stomach","acid"
"85","time/blown/nelson","full"
"86","pile/market/room","stock"
"87","mouse/bear/sand","trap"
"88","cat/number/phone","call"
"89","keg/puff/room","powder"
"90","trip/house/goal","field"
"91","fork/dark/man","pitch"
"92","fence/card/master","post"
"93","test/runner/map","road"
"94","dive/light/rocket","sky"
"95","man/glue/star","super"
"96","tooth/potato/heart","sweet"
"97","illness/bus/computer","terminal"
"98","type/ghost/screen","writer"
"99","mail/board/lung","black"
"100","teeth/arrest/start","false"
"101","iron/shovel/engine","steam"
"102","wet/law/business","suit"
"103","rope/truck/line","tow"
"104","off/military/first","base"
"105","spoon/cloth/card","table"
"106","cut/cream/war","cold"
"107","note/chain/master","key"
"108","shock/shave/taste","after"
"109","wise/work/tower","clock"
"110","grass/king/meat","crab"
"111","baby/spring/cap","shower"
"112","break/bean/cake","coffee"
"113","cry/front/ship","battle"
"114","hold/print/stool","foot"
"115","roll/bean/fish","jelly"
"116","horse/human/drag","race"
"117","oil/bar/tuna","salad"
"118","bottom/curve/hop","bell"
"119","tomato/bomb/picker","cherry"
"120","pea/shell/chest","nut"
"121","line/fruit/drunk","punch"
"122","bump/egg/step","goose"
"123","fight/control/machine","gun"
"124","home/arm/room","rest"
"125","child/scan/wash","brain"
"126","nose/stone/bear","brown"
"127","end/line/lock","dead"
"128","control/place/rate","birth"
"129","lounge/hour/napkin","cocktail"
"130","artist/hatch/route","escape"
"131","pet/bottom/garden","rock"
"132","mate/shoes/total","running"
"133","self/attorney/spending","defense"
"134","board/blade/back","switch"
"135","land/hand/house","farm"
"136","hungry/order/belt","money"
"137","forward/flush/razor","straight"
"138","shadow/chart/drop","eye"
"139","way/ground/weather","fair"
"140","cast/side/jump","broad"
"141","back/step/screen","door"
"142","reading/service/stick","lip"
"143","over/plant/horse","power"
